t,marketcap_thermocap_ratio,net_unrealized_profit_loss,price_usd_close,mvrv_z_score,puell_multiple,reserve_risk,sopr_adjusted,rhodl_ratio,exchange_net_position_change
2018-06-12,8.64981453e-07,0.199602704937228,6566.2,0.500033453089838,0.8371012906573511,0.004863736139549,0.963000807189695,8804.717239137,-8104.187311580405
2018-06-13,8.23814679e-07,0.17322041869109,6342.43,0.42573021459827404,0.786713745939092,0.004624076863258,0.9288714291090241,8628.65445505247,1095.5644534286112
2018-06-14,8.295795350000001e-07,0.214811961879866,6681.42,0.537867954390542,0.845182877781491,0.004648504283061,0.9722715755641621,8406.97864734728,3041.6330289281905
2018-06-15,8.34796323e-07,0.18876686693518202,6460.85,0.465394197910164,0.8516715248879211,0.0046693471400170005,0.971790835931815,8071.18054666499,7611.393246671185
2018-06-16,8.234590080000001e-07,0.20022281948175,6538.65,0.49964214025288406,0.9121855371806611,0.004598203894293,0.980865379055998,7874.5866024145,-4905.809392180294
2018-06-17,8.276914310000001e-07,0.195028649714023,6503.94,0.485756926545348,0.866886306833467,0.004613269348314001,0.977541207961182,7351.14431514362,9235.253851850517
2018-06-18,8.274664300000001e-07,0.22359424222974303,6733.38,0.576373491685765,0.90564261852277,0.0046034116021,0.9728423735092481,7217.36596511002,16265.213228598703
2018-06-19,8.49691485e-07,0.22752635498575602,6759.1,0.5867870838866991,0.8787753434719191,0.004717442560483001,0.985901108877626,7092.76840491833,10361.418940830044
2018-06-20,8.434858260000001e-07,0.22913584256956301,6776.84,0.595315660388926,0.8713780271091951,0.004673460760696,0.9783124504061281,6282.17879819927,11496.74188757874
2018-06-21,8.47241951e-07,0.22357108566265202,6737.58,0.5771860352421311,0.9610149661838521,0.00468542685633,1.00748080439225,6291.86736027246,5317.172594790347
2018-06-22,7.995806250000001e-07,0.14276171605596202,6083.68,0.33217176924949904,0.8062142876493961,0.004413397489546,0.9513649483884821,6177.4716566847,67.49636125843972
2018-06-23,7.68243319e-07,0.154656517220878,6166.8,0.365582334275709,0.8209678968939881,0.004233138798815,0.963463229227912,6144.45153922059,-3743.049606799148
2018-06-24,7.533889130000001e-07,0.15672507606764,6168.79,0.36104781452108603,0.8582918119061691,0.004144814920449,0.9513059450313891,6181.63330010008,4355.530332359951
2018-06-25,7.7520106e-07,0.16821286865779903,6260.63,0.40482295633306997,0.8121801849501381,0.004257291072505,0.978007174482802,6014.41472830208,3695.356039559003
